: زمان افعال
﻿می‌رود رفت می‌خورد خورد
﻿می‌رود رفت می‌گوید گفت
﻿می‌رود رفت می‌خندد خندید
﻿می‌رود رفت می‌نویسد نوشت
﻿می‌رود رفت می‌بیند دید
﻿می‌رود رفت می‌جنگد جنگید
﻿می‌رود رفت می‌سازد ساخت
﻿می‌رود رفت می‌پردازد پرداخت
﻿می‌رود رفت می‌جوید جست
﻿می‌رود رفت می‌پزد پخت
﻿می‌رود رفت می‌شوید شست
﻿می‌رود رفت می‌کند کرد
﻿می‌رود رفت می‌خواند خواند
﻿می‌رود رفت می‌خرد خرید
﻿می‌رود رفت می‌گذارد گذاشت
﻿می‌رود رفت می‌گرید گریست
﻿می‌رود رفت می‌خوابد خوابید
﻿می‌رود رفت می‌سوزد سوخت
﻿می‌رود رفت می‌شکند شکست
﻿می‌رود رفت می‌برد برد
﻿می‌رود رفت می‌گذرد گذشت
﻿می‌رود رفت می‌شنود شنید
﻿می‌رود رفت می‌دوزد دوخت
﻿می‌رود رفت می‌کارد کاشت
﻿می‌رود رفت می‌خواهد خواست
﻿می‌رود رفت می‌آفریند آفرید
﻿می‌رود رفت می‌آورد آورد
﻿می‌رود رفت می‌بخشد بخشید
﻿می‌رود رفت می‌پرسد پرسید
﻿می‌رود رفت می‌پوشد پوشید
﻿می‌رود رفت می‌پیچد پیچید
﻿می‌رود رفت می‌زند زد
﻿می‌رود رفت می‌نشیند نشست
﻿می‌رود رفت می‌پرورد پرورید
﻿می‌رود رفت می‌نوشد نوشید
﻿می‌رود رفت می‌تواند توانست
﻿می‌رود رفت می‌پرد پرید
﻿می‌رود رفت می‌خزد خزید
﻿می‌رود رفت می‌بارد بارید
﻿می‌رود رفت می‌لرزد لرزید
﻿می‌رود رفت می‌وزد وزید
﻿می‌رود رفت می‌ریزد ریخت
﻿می‌رود رفت برمی‌دارد برداشت
﻿می‌رود رفت می‌گیرد گرفت
می‌خورد خورد ﻿می‌رود رفت
می‌خورد خورد می‌گوید گفت
می‌خورد خورد می‌خندد خندید
می‌خورد خورد می‌نویسد نوشت
می‌خورد خورد می‌بیند دید
می‌خورد خورد می‌جنگد جنگید
می‌خورد خورد می‌سازد ساخت
می‌خورد خورد می‌پردازد پرداخت
می‌خورد خورد می‌جوید جست
می‌خورد خورد می‌پزد پخت
می‌خورد خورد می‌شوید شست
می‌خورد خورد می‌کند کرد
می‌خورد خورد می‌خواند خواند
می‌خورد خورد می‌خرد خرید
