ایران	تهران
چین	پکن
هند	دهلی‌نو
ژاپن	توکیو
فیلیپین	مانیل
روسیه	موسکو
مصر	قاهره
اندونزی	جاکارتا
کره‌جنوبی	سئول
بنگلادش	داکا
مکزیک	مکزیکوسیتی
بریتانیا	لندن
پرو	لیما
تایلند	بانکوک
کلمبیا	بوگوتا
ویتنام	هانوی
عراق	بغداد
سنگاپور	سنگاپور
ترکیه	آنکارا
شیلی	سانتیاگو
عربستان	ریاض
آلمان	برلین
سوریه	دمشق
الجزایر	الجزیره
اسپانیا	مادرید
کره‌شمالی	پیونگ‌یانگ
افغانستان	کابل
کنیا	نایروبی
یونان	آتن
اتیوپی	آدیس‌آبابا
آرژانتین	بوئنوس‌آیرس
ایتالیا	رم
اوکراین	کی‌یف
کامرون	یائونده
برزیل	برازیلیا
اردن	امان
آنگولا	لواندا
آفریقای‌جنوبی	پرتوریا
فرانسه	پاریس
ازبکستان	تاشکند
آذربایجان	باکو
کوبا	هاوانا
کامبوج	پنوم‌پن
رومانی	بخارست
ونزوئلا	کاراکاس
مراکش	رباط
اتریش	وین
سودان	خارطوم
مجارستان	بوداپست
لهستان	ورشو
بلاروس	مینسک
اوگاندا	کامپالا
غنا	آکرا
ماداگاسکار	آنتاناناریوو
لبنان	بیروت
سوئد	استکهلم
قطر	دوحه
یمن	صنعا
مالزی	کوالالامپور
لیبی	طرابلس
بلژیک	بروکسل
گرجستان	تفلیس
پاکستان	اسلام‌آباد
عمان	مسقط
ترکمنستان	عشق‌آباد
آمریکا	واشینگتن
امارات	ابوظبی
تاجیکستان	دوشنبه
بحرین	منامه
