خوب	خوب‌تر
بد	بدتر
شاد	شادتر
زیبا	زیباتر
مهربان	مهربان‌تر
تمیز	تمیزتر
کثیف	کثیف‌تر
بلند	بلندتر
کوتاه	کوتاه‌تر
چاق	چاق‌تر
لاغر	لاغرتر
نازک	نازکتر
زخیم	زخیم‌تر
پهن	پهن‌تر
ترسناک	ترسناک‌تر
خوشحال	خوشحال‌تر
پلید	پلیدتر
احمق	احمق‌تر
باهوش	باهوش‌تر
ساده	ساده‌تر
زرنگ	زرنگ‌تر
زیرک	زیرک‌تر
خشن	خشن‌تر
بزرگ	بزرگتر
کوچک	کوچکتر
راحت	راحت‌تر
نرم	نرم‌تر
سخت	سخت‌تر
گرم	گرم‌تر
سرد	سردتر
دانا	داناتر
توانا	تواناتر
پسندیده	پسندیده‌تر
سودمند	سودمندتر
رها	رهاتر
زشت	زشت‌تر
داغ	داغ‌تر
پیچیده	پیچیده‌تر
محکم	محکم‌تر
قوی	قوی‌تر
روشن	روشن‌تر
تاریک	تاریک‌تر
دقیق	دقیق‌تر
ظریف	ظریف‌تر
طولانی	طولانی‌تر
پست	پست‌تر
مریض	مریض‌تر
سالم	سالم‌تر
غم‌انگیز	غم‌انگیزتر
شجاع	شجاع‌تر
دلیر	دلیرتر
آزاد	آزادتر
خسته	خسته‌تر
