خوب	خوب‌ترین
بد	بدترین
شاد	شادترین
زیبا	زیباترین
مهربان	مهربان‌ترین
تمیز	تمیزترین
کثیف	کثیف‌ترین
بلند	بلندترین
کوتاه	کوتاه‌ترین
چاق	چاق‌ترین
لاغر	لاغرترین
نازک	نازکترین
زخیم	زخیم‌ترین
پهن	پهن‌ترین
ترسناک	ترسناک‌ترین
خوشحال	خوشحال‌ترین
پلید	پلیدترین
احمق	احمق‌ترین
باهوش	باهوش‌ترین
ساده	ساده‌ترین
زرنگ	زرنگ‌ترین
زیرک	زیرک‌ترین
خشن	خشن‌ترین
بزرگ	بزرگترین
کوچک	کوچکترین
راحت	راحت‌ترین
نرم	نرم‌ترین
سخت	سخت‌ترین
گرم	گرم‌ترین
سرد	سردترین
دانا	داناترین
توانا	تواناترین
پسندیده	پسندیده‌ترین
سودمند	سودمندترین
رها	رهاترین
زشت	زشت‌ترین
داغ	داغ‌ترین
پیچیده	پیچیده‌ترین
محکم	محکم‌ترین
قوی	قوی‌ترین
روشن	روشن‌ترین
تاریک	تاریک‌ترین
دقیق	دقیق‌ترین
ظریف	ظریف‌ترین
طولانی	طولانی‌ترین
پست	پست‌ترین
مریض	مریض‌ترین
سالم	سالم‌ترین
غم‌انگیز	غم‌انگیزترین
شجاع	شجاع‌ترین
دلیر	دلیرترین
آزاد	آزادترین
خسته	خسته‌ترین
