می‌رود	رفت
می‌خورد	خورد
می‌گوید	گفت
می‌خندد	خندید
می‌نویسد	نوشت
می‌بیند	دید
می‌جنگد	جنگید
می‌سازد	ساخت
می‌پردازد	پرداخت
می‌جوید	جست
می‌پزد	پخت
می‌شوید	شست
می‌کند	کرد
می‌خواند	خواند
می‌خرد	خرید
می‌گذارد	گذاشت
می‌گرید	گریست
می‌خوابد	خوابید
می‌سوزد	سوخت
می‌شکند	شکست
می‌برد	برد
می‌گذرد	گذشت
می‌شنود	شنید
می‌دوزد	دوخت
می‌کارد	کاشت
می‌خواهد	خواست
می‌آفریند	آفرید
می‌آورد	آورد
می‌بخشد	بخشید
می‌پرسد	پرسید
می‌پوشد	پوشید
می‌پیچد	پیچید
می‌زند	زد
می‌نشیند	نشست
می‌پرورد	پرورید
می‌نوشد	نوشید
می‌تواند	توانست
می‌پرد	پرید
می‌خزد	خزید
می‌بارد	بارید
می‌لرزد	لرزید
می‌وزد	وزید
می‌ریزد	ریخت
برمی‌دارد	برداشت
می‌گیرد	گرفت
